station_id,model,lead_hours,n_samples,bias_c,mae_c,rmse_c,error_std_c
EGLC,gfs_seamless,312,78,-2.541025641025641,3.6384615384615384,4.73752071912119,4.024291045006364
EGLC,gfs_seamless,318,77,-2.481818181818182,3.9545454545454546,5.303429422210089,4.717624493454732
EGLC,gfs_seamless,324,77,-2.1363636363636362,4.58051948051948,5.494613655279069,5.0954806883135255
EGLC,gfs_seamless,330,77,-2.1714285714285713,4.187012987012987,5.4050241178264615,4.982122173670921
EGLC,gfs_seamless,336,77,-2.4025974025974026,4.285714285714286,5.2224540183735435,4.667383297838366
EGLC,gfs_seamless,342,76,-1.9631578947368424,4.197368421052632,5.336542345988301,4.995300247372875
EGLC,gfs_seamless,348,76,-2.1026315789473684,4.2894736842105265,5.542372663114787,5.162117748475214
EGLC,gfs_seamless,354,76,-1.9986842105263158,4.056578947368421,5.306983978435249,4.948898690174818
EGLC,gfs_seamless,360,76,-2.192105263157895,4.239473684210526,5.307963233125351,4.866285733709567
EGLC,gfs_seamless,366,75,-2.26,4.164000000000001,5.301433768330979,4.82787514113387
EGLC,gfs_seamless,372,75,-2.704,4.213333333333333,5.1775927482437885,4.445144329277522
EGLC,gfs_seamless,378,75,-2.0493333333333332,3.9026666666666667,5.317179703564663,4.939426964612266
EGLC,gfs_seamless,384,75,-2.3586666666666667,4.281333333333333,5.489031487126546,4.989802935320526
EGLC,icon_eu,3,89,-4.985393258426966,4.985393258426966,5.487339872506941,2.305751236375022
EGLC,icon_eu,6,89,-2.2258426966292135,2.232584269662921,2.6481920905241383,1.4428923044521345
EGLC,icon_eu,9,89,-0.39325842696629215,0.7168539325842697,1.0050434615232129,0.9301512282723645
EGLC,icon_eu,12,89,-0.2258426966292135,0.6955056179775281,0.938741687077004,0.9163326224545669
EGLC,icon_eu,15,89,-0.03258426966292137,0.7943820224719101,1.110875755348106,1.1166890265523666
EGLC,icon_eu,18,89,-0.153932584269663,0.8842696629213483,1.2361138815213943,1.2334408800158936
EGLC,icon_eu,21,89,-0.1191011235955055,0.8629213483146065,1.1947450482580284,1.1955292099863313
EGLC,icon_eu,24,90,0.03999999999999997,0.9,1.254768681647914,1.261156950554761
EGLC,icon_eu,27,89,0.01235955056179783,0.9179775280898876,1.2691233814343548,1.2762534146262843
